"ArtNumber";"Title";"Description_Short";"DisplayPrice";"Img_url";"Deeplink1";"ProductCategoryID";"ProductCategoryName"
"2338.10";"Roches d´Aric Corbières AOP 2010, Bio Wein Rotwein";"Starke, regionstypische Rebstöcke fussen auf Kalksteingeröll und ergeben diesen tiefgründigen, vollmundigen Rotwein mit frischer Frucht und Finesse.";"12.90 EUR ";"http://www.delinat.com/flaschen/450h/2338.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2338.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2338.10&utm-campaign=affilinet-csv";35844409;"Wein > Rotwein > Frankreich > Languedoc > Corbières"
"2345.09";"Montagne de l´Aigle Corbières AOP 2009, Bio Wein Rotwein";"Ein Wein wie eine Schatztruhe voller Gold und Edelsteine - konzentriert, fruchtig und voller Finessen. Ihre Gäste werden begeistert sein.";"26.50 EUR ";"http://www.delinat.com/flaschen/450h/2345.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2345.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2345.09&utm-campaign=affilinet-csv";35844409;"Wein > Rotwein > Frankreich > Languedoc > Corbières"
"2351.11";"Loatum Rioja DOCa 2011, Bio Wein Rotwein";"Durch und durch ein Rioja und doch anders: Eleganz und Fülle basieren auf der unkonventionellen Traubenkombination.";"10.50 EUR ";"http://www.delinat.com/flaschen/450h/2351.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2351.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2351.11&utm-campaign=affilinet-csv";35844414;"Wein > Rotwein > Spanien > Rioja"
"2356.10";"Duvivier Les Cigales Pays du Var IGP 2010, Bio Wein Rotwein";"Teilweise im Beton-Ei ausgebaut: Die fruchtig-elegante Kreation von Antoine Kaufmann zeigt die Provence von ihrer charakterstarken Weinseite.";"9.90 EUR ";"http://www.delinat.com/flaschen/450h/2356.10.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2356.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2356.10&utm-campaign=affilinet-csv";35844377;"Wein > Rotwein > Frankreich > Provence > Var"
"2372.09";"Domaine Pierre André Châteauneuf-du-Pape AC 2009, Bio Wein Rotwein";"Ein einzigartiger, wuchtiger Châteauneuf-du-Pape aus einem Jahr, das als «année exceptionnelle» in die Geschichte einging.";"26.90 EUR ";"http://www.delinat.com/flaschen/450h/2372.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2372.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2372.09&utm-campaign=affilinet-csv";36511293;"Wein > Rotwein > Frankreich > Rhône > Châteauneuf-du-Pape"
"2392.11";"Vegas Altas Selección Ribera del Guadiana DO 2011, Bio Wein Rotwein";"Schmackhafte Alltagsweine sind das Ziel des Winzertrios von Cerro La Barca: ein süffiger Tropfen mit südlichem Charme.";"7.60 EUR ";"http://www.delinat.com/flaschen/450h/2392.11.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2392.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2392.11&utm-campaign=affilinet-csv";35844419;"Wein > Rotwein > Spanien > Extremadura"
"2421.11";"El Molino La Mancha DO 2011, Bio Wein Rotwein";"Gehaltvoll und doch nicht schwer: ein Schmeichler - auch bezüglich Preis.";"5.30 EUR ";"http://www.delinat.com/flaschen/450h/2421.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2421.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2421.11&utm-campaign=affilinet-csv";35844384;"Wein > Rotwein > Spanien > La Mancha"
"2618.09";"Nemaro Puglia IGT 2009, Bio Wein Rotwein";"Der Nemaro verkörpert Italianità und die Frische des nahen Meeres. Ein Wein für jeden Tag aus typisch regionalen Traubensorten.";"6.95 EUR ";"http://www.delinat.com/flaschen/450h/2618.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2618.09.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2618.09&utm-campaign=affilinet-csv";35844386;"Wein > Rotwein > Italien > Puglia > Manduria"
"2618.10";"Nemaro Puglia IGT 2010, Bio Wein Rotwein";"Der Nemaro verkörpert Italianità und die Frische des nahen Meeres. Ein Wein für jeden Tag aus typisch regionalen Traubensorten.";"7.30 EUR ";"http://www.delinat.com/flaschen/450h/2618.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2618.10.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2618.10&utm-campaign=affilinet-csv";35844386;"Wein > Rotwein > Italien > Puglia > Manduria"
"2719.11";"Mundo de Yuntero tinto La Mancha DO 2011, Bio Wein Rotwein";"Ein vorzüglicher Alltagswein mit herrlicher Frucht und einer Qualität, die bei diesem Preis kaum zu überbieten ist.";"4.20 EUR ";"http://www.delinat.com/flaschen/450h/2719.jpg";"http://partners.webmasterplan.com/click.asp?ref=576980&site=9561&type=text&tnb=5&diurl=http://www.delinat.com/weine/2719.11.html?rc=ag4&utm_source=affilinet&utm_medium=affiliate&utm_content=2719.11&utm-campaign=affilinet-csv";35844384;"Wein > Rotwein > Spanien > La Mancha"
